Document ID,Software 1,Count 1,Software 2,Count 2,Similarity Score, C1 minus C2
hal-03231805,ModelUnits,6,ModelUnit,7,94.73684210526316,1
lirmm-03468587,FlatFIT,3,FlatFAT,4,85.71428571428572,1
hal-02989101,SongMeter,1,SongMeters,1,94.73684210526316,0
hal-03946680,IndeGx,92,In-deGx,3,92.3076923076923,89
hal-03946680,HiBiSCus,6,Hi-BiSCus,1,94.11764705882352,5
hal-02273257,GeoLifeCLEF,5,LifeCLEF,8,84.21052631578947,3
hal-04351729,LogMapLt,17,LogMap,48,85.71428571428572,31
hal-04351729,LogMapLt,17,LogMapLite,6,88.88888888888889,11
hal-04351729,LogMapLt,17,LogMapLight,2,84.21052631578947,15
hal-04351729,LogMap,48,LogMapBio,5,80.0,43
hal-04351729,LogMap,48,LogMapKG,2,85.71428571428572,46
hal-04351729,LSMatch,11,LsMatch,2,85.71428571428572,9
hal-04351729,LogMapLite,6,LogMapLight,2,85.71428571428572,4
hal-04351729,KGMatcher+,3,KGMatcher,9,94.73684210526316,6
hal-03418836,SciPhy,21,Sciphy,11,83.33333333333334,10
hal-03084627,AMIE,2,AMIE+,9,88.88888888888889,7
hal-02945382,Life-CLEF,1,LifeCLEF,6,94.11764705882352,5
hal-03256451,Pathfinder-X,1,Pathfinder,2,90.9090909090909,1
hal-02962579,Act-Greedy,1,ActGreedy,4,94.73684210526316,3
hal-02962579,cacheA,1,CacheA,22,83.33333333333334,21
hal-02962579,Sgreedy,14,Agreedy,15,85.71428571428572,1
hal-02962579,Vis-Trails,1,VisTrails,1,94.73684210526316,0
hal-03890057,MiBench2,1,Mibench,1,80.0,0
hal-03890057,MiBench2,1,MiBench 2,2,94.11764705882352,1
hal-03890057,MiBench2,1,MiBench,2,93.33333333333333,1
hal-03890057,PolyBench,5,Polybench,1,88.88888888888889,4
hal-03890057,ITHEMAL-tuned,1,ITHEMALtuned,2,96.0,1
hal-03890057,ITHEMAL-tuned,1,ITHEMALuntuned,1,88.88888888888889,0
